37.976088;23.7358438;104
37.97612;23.7358;105
37.97634;23.73583;108
37.97634;23.73583;108
37.97654;23.73587;111
37.97654;23.73587;111
37.97677;23.73591;113
37.97677;23.73591;113
37.97695;23.73586;114
37.97695;23.73586;114
37.97708;23.73576;115
37.97708;23.73576;115
37.97722;23.73561;115
37.97722;23.73561;115
37.97736;23.73549;115
37.97736;23.73549;115
37.97751;23.73536;115
37.97751;23.73536;115
37.97763;23.73525;114
37.97763;23.73525;114
37.97777;23.73513;113
37.97777;23.73513;113
37.97794;23.73499;112
37.97794;23.73499;112
37.97804;23.7349;112
37.97804;23.7349;112
37.97815;23.73481;112
37.97815;23.73481;112
37.97827;23.73471;112
37.97827;23.73471;112
37.97841;23.73459;111
37.97841;23.73459;111
37.97855;23.73447;109
37.97855;23.73447;109
37.97869;23.73435;107
37.9787;23.73437;107
37.9787;23.73437;107
37.9786;23.73426;107
37.9786;23.73426;107
37.97855;23.73418;107
37.97855;23.73418;107
37.97849;23.73406;108
37.97849;23.73406;108
37.97842;23.7339;110
37.97842;23.7339;110
37.97834;23.73375;111
37.97834;23.73375;111
37.97827;23.7336;111
37.97827;23.7336;111
37.97818;23.73341;110
37.97818;23.73341;110
37.97811;23.73328;108
37.97811;23.73328;108
37.97809;23.73324;107
37.97823;23.73313;108
37.97823;23.73312;108
37.97837;23.73301;107
37.97837;23.73301;107
37.97852;23.73288;105
37.97852;23.73288;105
37.97869;23.73274;102
37.97869;23.73274;102
37.97886;23.73259;99
37.97886;23.73259;99
37.97903;23.73244;96
37.97903;23.73244;96
37.97919;23.7323;95
37.97919;23.7323;95
37.9794;23.73212;96
37.9794;23.73212;96
37.97961;23.73195;97
37.97961;23.73195;97
37.9798;23.73178;98
37.9798;23.73178;98
37.97997;23.73164;99
37.97997;23.73164;99
37.98013;23.73152;99
37.98013;23.73152;99
37.98027;23.73139;99
37.98029;23.73138;99
37.98038;23.73131;100
37.98038;23.73131;100
37.98056;23.73116;100
37.98056;23.73116;100
37.98069;23.73105;100
37.98069;23.73105;100
37.98084;23.73092;100
37.98084;23.73092;100
37.98094;23.73083;99
